accountNumber,balance,betweenness,communityId,communitySize,cycleCount,fraudScore,freq,inDegree,intermediateAccount,is_suspicious,outDegree,pagerank,regularIntervalTransaction,suspicious,triangleCount,type,user,fraud_score
ACC000001,51450.68,0.0002949324519081,2,1008,0,23.13,41,10,40,False,4,9.981864082281678e-05,True,False,0,CURRENT,User_1,0.08359111529567395
ACC000002,43837.68,0.0003973699177512,9,1048,0,24.62,50,7,49,False,7,8.180221834193987e-05,True,False,0,SAVINGS,User_2,0.1531421629268536
ACC000003,25642.25,0.0017379194669745,8,1028,0,28.82,3,8,56,False,7,0.0001431351131647,False,False,1,BUSINESS,User_3,0.23771297192631216
ACC000004,34827.79,0.0002409168378261,4,992,0,15.57,9,7,28,False,4,4.775905817705872e-05,False,False,1,SAVINGS,User_4,0.10072420985466916
ACC000005,55243.78,0.0001018341103879,8,1028,0,9.67,5,10,10,False,1,0.0001608571292107,True,False,0,CURRENT,User_5,0.12699757456921038
ACC000006,11512.98,0.0005653861871501,4,992,0,14.64,13,3,24,False,8,7.918737876408237e-05,False,False,0,SAVINGS,User_6,0.0987031536380807
ACC000007,59157.48,0.0001613226016787,4,992,0,10.61,3,6,18,False,3,9.169434602348288e-05,False,False,0,BUSINESS,User_7,0.041572461303994154
ACC000008,22141.14,0.000383155912456,1,1054,0,13.17,7,6,24,False,4,0.0001291247499847,False,False,0,SAVINGS,User_8,0.09782557813318583
ACC000009,11254.41,0.0005189639321454,5,989,1,30.67,45,8,56,False,7,0.0001147877511432,False,False,1,BUSINESS,User_9,0.3023418494618918
ACC000010,38226.52,0.000436646373291,2,1008,0,21.66,14,7,42,False,6,0.0001197683368432,True,False,0,CURRENT,User_10,0.05808486470981255
ACC000011,12171.78,0.0004885963347947,1,1054,0,15.73,11,7,28,False,4,0.0001830869971772,True,False,0,BUSINESS,User_11,0.12044960235350287
ACC000012,39728.96,0.0005603104555285,7,1027,0,12.67,30,5,25,False,5,0.0001161091538629,True,False,0,SAVINGS,User_12,0.02400412366006915
ACC000013,57707.81,0.0003371957854621,6,1017,0,24.67,46,9,45,False,5,0.0001375437173276,False,False,0,SAVINGS,User_13,0.06961505948215048
ACC000014,77788.68,0.00018508768146,5,989,0,6.57,18,4,12,False,3,5.406005564899339e-05,True,False,0,SAVINGS,User_14,0.03434426013756595
ACC000015,35183.56,0.0004891133103995,0,1045,0,15.63,31,5,30,False,6,7.848918729810916e-05,True,False,0,BUSINESS,User_15,0.05866164308338937
ACC000016,98399.72,0.0,8,1028,0,0.18,31,9,0,False,0,0.0001773490637934,True,False,0,CURRENT,User_16,0.18707711735825025
ACC000017,83682.07,0.0009423803710141,0,1045,0,32.18,13,6,60,False,10,8.308336810227176e-05,False,False,0,CURRENT,User_17,0.18456767748423653
ACC000018,1900.29,0.0003978944811019,4,992,0,15.72,12,7,28,False,4,0.0001816273106915,False,False,0,BUSINESS,User_18,0.09805023899747738
ACC000019,71347.36,0.0002613966789902,4,992,0,8.15,48,6,12,False,2,0.0001247999818764,False,False,0,BUSINESS,User_19,0.0764235348289928
ACC000020,88876.11,0.0004092910856919,1,1054,0,18.16,14,6,36,False,6,0.0001190128511933,True,False,1,BUSINESS,User_20,0.14785325995395607
ACC000021,23451.5,0.0005549043707788,9,1048,0,21.67,12,7,42,False,6,0.0001192990910543,True,False,0,CURRENT,User_21,0.0974109990765417
