accountNumber,balance,betweenness,communityId,communitySize,cycleCount,fraudScore,freq,inDegree,intermediateAccount,is_suspicious,outDegree,pagerank,regularIntervalTransaction,suspicious,triangleCount,type,user
ACC000001,51450.68,0.00029493245190814223,2,1008,0,23.13,41,10,40,False,4,9.981864082281678e-05,True,False,0,CURRENT,User_1
ACC000002,43837.68,0.0003973699177512055,9,1048,0,24.62,50,7,49,False,7,8.180221834193987e-05,True,False,0,SAVINGS,User_2
ACC000003,25642.25,0.001737919466974573,8,1028,0,28.82,3,8,56,False,7,0.00014313511316472498,False,False,1,BUSINESS,User_3
ACC000004,34827.79,0.00024091683782612449,4,992,0,15.57,9,7,28,False,4,4.775905817705872e-05,False,False,1,SAVINGS,User_4
ACC000005,55243.78,0.00010183411038790501,8,1028,0,9.67,5,10,10,False,1,0.00016085712921072928,True,False,0,CURRENT,User_5
ACC000006,11512.98,0.0005653861871501207,4,992,0,14.64,13,3,24,False,8,7.918737876408237e-05,False,False,0,SAVINGS,User_6
ACC000007,59157.48,0.00016132260167873503,4,992,0,10.61,3,6,18,False,3,9.169434602348288e-05,False,False,0,BUSINESS,User_7
ACC000008,22141.14,0.0003831559124560749,1,1054,0,13.17,7,6,24,False,4,0.00012912474998473427,False,False,0,SAVINGS,User_8
ACC000009,11254.41,0.000518963932145471,5,989,1,30.67,45,8,56,False,7,0.00011478775114324821,False,False,1,BUSINESS,User_9
ACC000010,38226.52,0.0004366463732910951,2,1008,0,21.66,14,7,42,False,6,0.00011976833684328521,True,False,0,CURRENT,User_10
ACC000011,12171.78,0.000488596334794732,1,1054,0,15.73,11,7,28,False,4,0.00018308699717727584,True,False,0,BUSINESS,User_11
ACC000012,39728.96,0.0005603104555285185,7,1027,0,12.67,30,5,25,False,5,0.00011610915386299321,True,False,0,SAVINGS,User_12
ACC000013,57707.81,0.0003371957854621315,6,1017,0,24.67,46,9,45,False,5,0.00013754371732767603,False,False,0,SAVINGS,User_13
ACC000014,77788.68,0.00018508768146005867,5,989,0,6.57,18,4,12,False,3,5.406005564899339e-05,True,False,0,SAVINGS,User_14
ACC000015,35183.56,0.0004891133103995131,0,1045,0,15.63,31,5,30,False,6,7.848918729810916e-05,True,False,0,BUSINESS,User_15
ACC000016,98399.72,0.0,8,1028,0,0.18,31,9,0,False,0,0.00017734906379345995,True,False,0,CURRENT,User_16
ACC000017,83682.07,0.0009423803710141438,0,1045,0,32.18,13,6,60,False,10,8.308336810227176e-05,False,False,0,CURRENT,User_17
ACC000018,1900.29,0.0003978944811019008,4,992,0,15.72,12,7,28,False,4,0.00018162731069155488,False,False,0,BUSINESS,User_18
ACC000019,71347.36,0.00026139667899024495,4,992,0,8.15,48,6,12,False,2,0.00012479998187642802,False,False,0,BUSINESS,User_19
ACC000020,88876.11,0.0004092910856919766,1,1054,0,18.16,14,6,36,False,6,0.00011901285119338741,True,False,1,BUSINESS,User_20
ACC000021,23451.5,0.0005549043707788623,9,1048,0,21.67,12,7,42,False,6,0.00011929909105435494,True,False,0,CURRENT,User_21
ACC000022,83043.08,0.00012760864513762713,9,1048,0,10.61,22,6,18,False,3,9.930454902259752e-05,True,False,0,SAVINGS,User_22
ACC000023,86243.2,0.00014656424211963645,4,992,0,6.55,28,3,12,False,4,3.519396647441861e-05,True,False,0,CURRENT,User_23
ACC000024,53743.0,0.00019028542835817207,4,992,0,6.59,21,4,12,False,3,7.481091644619046e-05,True,False,0,SAVINGS,User_24
ACC000025,83867.39,4.090521504524423e-05,0,1045,0,2.03,35,2,4,False,2,2.9857832348280613e-05,True,False,0,BUSINESS,User_25
ACC000026,43687.2,0.00038457171659168763,1,1054,0,20.66,23,9,36,False,4,0.00012364054057966044,True,False,0,BUSINESS,User_26
ACC000027,55140.34,0.0026243907561699703,0,1045,0,100,46,4,284,True,71,5.640722283265203e-05,False,True,5,BUSINESS,User_27
ACC000028,67167.8,0.00013388050761540139,5,989,0,6.6,33,4,12,False,3,8.859204689919131e-05,False,False,0,SAVINGS,User_28
ACC000029,91514.4,5.227764360478307e-05,7,1027,0,4.54,29,1,5,False,5,3.191662723783276e-05,False,False,0,SAVINGS,User_29
ACC000030,19971.08,0.00012861763528831586,5,989,0,12.54,35,3,21,False,7,3.0831814578436506e-05,False,False,0,BUSINESS,User_30
ACC000031,53573.61,0.0003973482859507122,6,1017,0,18.61,34,3,30,False,10,6.84271237783259e-05,True,False,0,CURRENT,User_31
ACC000032,13500.68,0.00048550524573557756,9,1048,0,21.66,2,6,42,False,7,0.00011350464740219411,False,False,0,CURRENT,User_32
ACC000033,90419.96,5.019255809964834e-05,2,1008,0,10.65,7,11,11,False,1,0.00014991676340378725,False,False,0,BUSINESS,User_33
ACC000034,32217.25,0.0004894647721581139,3,990,0,2.63,15,3,3,False,1,7.648821658781004e-05,False,False,0,BUSINESS,User_34
ACC000035,25725.55,9.16724560728125e-05,3,990,0,6.55,45,5,10,False,2,4.434914062804467e-05,False,False,0,SAVINGS,User_35
ACC000036,18731.44,0.0002997360900136958,1,1054,0,20.66,38,11,33,False,3,0.00013003508695366752,True,False,0,CURRENT,User_36
ACC000037,31874.39,0.00029516114571238134,8,1028,0,12.62,35,9,18,False,2,9.24533616711261e-05,True,False,0,CURRENT,User_37
ACC000038,96174.47,0.00022686192563232114,9,1048,0,8.06,41,4,16,False,4,3.9764868062231363e-05,False,False,0,CURRENT,User_38
ACC000039,52498.31,0.00024578284557839154,4,992,0,12.66,21,7,21,False,3,0.00013404978904718335,False,False,0,SAVINGS,User_39
ACC000040,18124.16,0.004562899311636164,1,1054,0,100,35,6,396,True,66,0.00014462039884313027,False,True,3,SAVINGS,User_40
ACC000041,55555.93,0.00010823487018221473,5,989,0,5.09,50,2,8,False,4,7.62973534712604e-05,False,False,0,BUSINESS,User_41
ACC000042,53694.98,0.0004810544501575788,4,992,0,18.7,18,10,30,False,3,0.00015661035834302418,False,False,0,SAVINGS,User_42
ACC000043,49425.74,0.0004350174556351835,3,990,0,25.59,14,4,44,False,11,4.839396327133663e-05,False,False,0,SAVINGS,User_43
ACC000044,90447.2,0.0008686790520874127,1,1054,1,38.68,35,8,72,False,9,9.445076286106974e-05,True,False,1,BUSINESS,User_44
ACC000045,27417.91,0.0001561033329104789,1,1054,0,8.1,38,6,12,False,2,8.781882208272075e-05,True,False,0,SAVINGS,User_45
ACC000046,5686.12,0.0017044208660542527,6,1017,0,32.3,49,10,60,False,6,0.0001296703527438682,True,False,0,SAVINGS,User_46
ACC000047,83036.59,0.0,0,1045,0,0.11,17,5,0,False,0,0.00010564730371626569,True,False,0,BUSINESS,User_47
ACC000048,4093.51,0.00027571302262271373,5,989,0,6.6,48,3,12,False,4,7.478696972789295e-05,False,False,0,BUSINESS,User_48
ACC000049,92731.4,0.0002692191482589661,7,1027,0,11.16,48,8,16,False,2,0.00012825188641204502,False,False,0,SAVINGS,User_49
ACC000050,94057.99,0.000390287806612162,0,1045,0,12.81,38,7,21,False,3,0.0002702812926576166,True,False,0,BUSINESS,User_50
ACC000051,49679.75,0.0002551199696225177,6,1017,0,8.61,46,3,15,False,5,8.577672853229879e-05,False,False,0,CURRENT,User_51
ACC000052,83894.99,0.0,0,1045,0,0.11,1,6,0,False,0,0.00011012793367322642,True,False,0,BUSINESS,User_52
ACC000053,21708.91,0.0002458429024302255,9,1048,0,8.17,43,6,12,False,2,0.00014295927471499436,True,False,0,CURRENT,User_53
ACC000054,75118.88,0.00016049957299412747,6,1017,0,13.06,18,6,24,False,4,4.2843093271224135e-05,False,False,0,SAVINGS,User_54
ACC000055,59410.33,4.537097631575641e-05,4,992,0,2.55,44,3,3,False,1,4.787209100451992e-05,False,False,0,SAVINGS,User_55
ACC000056,56372.39,0.0009343478806606767,4,992,0,13.18,16,4,24,False,6,8.695819059317527e-05,False,False,0,CURRENT,User_56
ACC000057,75315.9,0.0,5,989,0,0.13,27,8,0,False,0,0.0001274828284377366,False,False,0,CURRENT,User_57
ACC000058,64206.7,0.00028040470228752386,6,1017,0,6.6,2,4,12,False,3,7.009500908064479e-05,False,False,0,BUSINESS,User_58
ACC000059,29780.21,0.0020888452186260107,5,989,0,32.37,17,6,60,False,10,0.00016007886065302088,True,False,0,CURRENT,User_59
ACC000060,44560.16,0.0006969450173584078,7,1027,0,41.18,29,10,80,False,8,0.0001127747350050777,True,False,0,BUSINESS,User_60
ACC000061,91373.51,0.0005072806896841087,5,989,0,15.66,31,6,30,False,5,0.00010824442576927356,False,False,1,SAVINGS,User_61
ACC000062,88391.14,0.00018910514161816412,8,1028,0,10.57,4,5,20,False,4,5.582533082704606e-05,False,False,0,SAVINGS,User_62
ACC000063,38540.65,0.00015743651104296148,6,1017,0,18.08,9,8,32,False,4,6.517729948540086e-05,False,False,3,SAVINGS,User_63
ACC000064,98362.54,0.000421509492316873,5,989,0,25.1,2,8,48,False,6,5.3253610374752016e-05,True,False,0,SAVINGS,User_64
ACC000065,90238.77,8.329160440232495e-05,5,989,0,6.53,50,1,7,False,7,1.841643298295968e-05,False,False,0,SAVINGS,User_65
ACC000066,99287.78,0.000573532610017044,8,1028,0,27.76,10,10,50,False,5,0.00020163930291893406,True,False,0,BUSINESS,User_66
ACC000067,25654.65,0.0005094886372734452,3,990,0,25.84,18,11,44,False,4,0.00028862557438427575,True,False,0,CURRENT,User_67
ACC000068,23304.36,6.147275690514637e-05,3,990,0,3.58,31,3,6,False,2,7.256163129622862e-05,True,False,0,CURRENT,User_68
ACC000069,4805.71,0.004569051761706023,2,1008,0,100,7,6,354,True,59,0.00012842918013897681,False,True,5,CURRENT,User_69
